query_id,query,platform,model,timestamp,thegeolab_cited,cited_urls,plausible_pages,pages_cited_from_set,top_domains_cited,output_tokens,cost_usd,notes
CQ1,"How should I structure my website content to get cited by AI search engines?",perplexity,sonar-pro,2026-04-07T10:04:40Z,no,,P2|P3|P4|P9,0,seattleorganicseo.com|yoursitehub.com|thehoth.com|searchenginejournal.com|searchengineland.com|wellows.com|tryprofound.com,494,0.0141,Generic advice from SEO publishers
CQ2,"What is the best approach to GEO for a new website?",perplexity,sonar-pro,2026-04-07T10:04:47Z,no,,P2|P3|P4|P7|P9,0,heinzmarketing.com|directiveconsulting.com|mediacause.com|lionbridge.com|searchenginejournal.com|optimizegeo.ai|emarketer.com|searchengineland.com,616,0.0159,
CQ3,"How do I build a GEO strategy on top of existing SEO?",perplexity,sonar-pro,2026-04-07T10:04:55Z,no,,P2|P4|P7|P9,0,botify.com|primaryposition.com|simplifiedseoconsulting.com|celerant.com|a16z.com|cmr.berkeley.edu,652,0.0164,a16z and Berkeley cited — high authority
CQ4,"What content changes improve visibility in AI-generated answers?",perplexity,sonar-pro,2026-04-07T10:05:01Z,no,,P2|P3|P9|P10,0,sitebulb.com|brandastic.com|twooctobers.com|digitalstoryteller.io|wingmanplanning.com|digitalmarketinginstitute.com|veracityagency.com,442,0.0133,
CQ5,"What framework should I use to diagnose why my content isn't getting cited by AI?",perplexity,sonar-pro,2026-04-07T10:05:10Z,no,,P2|P3|P5|P8,0,news.mit.edu|optimizeyour.blog|indexly.ai|aiadvantageagency.com|northwestern.edu|finos.org|misinforeview.hks.harvard.edu,351,0.0119,Academic/institutional sources dominate
CQ6,"How does optimising for Perplexity differ from optimising for Google AI Overview?",perplexity,sonar-pro,2026-04-07T10:05:18Z,no,,P1|P2|P7|P9,0,averi.ai|themexpert.com|index.dev|blog.trysteakhouse.com|skywork.ai|llmrefs.com|portotheme.com,403,0.0127,
CQ7,"How do I know if my GEO strategy is working?",perplexity,sonar-pro,2026-04-07T10:05:23Z,no,,P5|P6|P8|P3,0,purplexmarketing.com|merrittgrp.com|myohomarketing.com.au|obilityb2b.com|interactgen.ai|involvedigital.com|searchengineland.com|ey.com,455,0.0135,
CQ8,"What metrics should I track to measure AI search performance?",perplexity,sonar-pro,2026-04-07T10:05:30Z,no,,P5|P6|P8|P2,0,milvus.io|airops.com|columnfivemedia.com|learn.microsoft.com|schemaapp.com|envisionitagency.com|venatorpm.com|frase.io|conductor.com|neilpatel.com,583,0.0154,
CQ9,"How often do AI citations change, and how do I monitor drift?",perplexity,sonar-pro,2026-04-07T10:05:36Z,no,,P5|P6|P1,0,ahrefs.com|scrunch.com|thedigitalbloom.com|stacker.com|govtech.com|yext.com|almcorp.com,609,0.0158,
CQ10,"What evidence exists that content structure affects AI citation rates?",perplexity,sonar-pro,2026-04-07T10:05:41Z,no,,P10|P3|P8|P9,0,almcorp.com|stacker.com|drli.blog|thedigitalbloom.com|discoveredlabs.com|arxiv.org|tryprofound.com|csescienceeditor.org,493,0.0141,ALM Corp study dominant — 44% first-third finding
CQ11,"Why does some high-quality content never get cited by AI engines?",perplexity,sonar-pro,2026-04-07T10:05:47Z,no,,P3|P8|P5|P4,0,wordstream.com|discoveredlabs.com|searchengineland.com|cjr.org|eseospace.com|kesq.com,409,0.0128,
CQ12,"What is the relationship between entity signals and AI citation likelihood?",perplexity,sonar-pro,2026-04-07T10:06:05Z,no,,P8|P3|P2|P10,0,digitalstrategyforce.com|damespeak.com|thehoth.com|gettheclicks.com|almcorp.com|youtube.com|advicelocal.com|outpaceseo.com,446,0.0134,
CQ13,"What changed about search optimisation when AI engines started generating answers?",perplexity,sonar-pro,2026-04-07T10:06:11Z,no,,P1|P7|P2|P4|P9,0,hemispheredm.com|sellershorts.com|researchfdi.com|clarkstonconsulting.com|directagents.com|digitalcommons.nc.gov|searchengineland.com|youtube.com,529,0.0146,
CQ14,"How do different AI platforms decide which sources to cite?",perplexity,sonar-pro,2026-04-07T10:06:17Z,no,,P1|P3|P5|P10,0,digitalstrategyforce.com|wellows.com|snezzi.com|evertune.ai|ziptie.dev|liner.com|tryprofound.com|semai.ai,644,0.0163,Entity density mentioned as a factor but no thegeolab citation
CQ15,"What is the difference between being indexed by Google and being cited by AI?",perplexity,sonar-pro,2026-04-07T10:06:24Z,no,,P3|P4|P7|P9,0,amicited.com|wenstein.com|searchengineland.com|ziptie.dev|stanventures.com|uscupstate.libguides.com|youtube.com,591,0.0155,
CQ16,"Does traditional SEO authority still matter for AI search visibility?",perplexity,sonar-pro,2026-04-07T10:06:28Z,no,,P4|P7|P3|P2,0,searchengineland.com|lamplightcreatives.com|20northmarketing.com|performancemarketingadvisors.com|authorityai.ai|ekho.com|wsiworld.com|semrush.com,430,0.0131,
CQ17,"What should I write about to maximise my chances of being cited by ChatGPT or Perplexity?",perplexity,sonar-pro,2026-04-07T10:06:34Z,no,,P1|P2|P9|P4,0,pixelmojo.io|youtube.com|ferventers.com|outboundsalespro.com|ideadigital.agency|greenbananaseo.com,511,0.0144,
CQ18,"How do I write content that AI engines can easily extract and quote?",perplexity,sonar-pro,2026-04-07T10:06:41Z,no,,P10|P2|P3|P9,0,seo-hacker.com|seattleorganicseo.com|bradleebartlett.com|tinkeringwithideas.io|datasnipper.com|eseospace.com|thedigitalmarketingprofessor.com,513,0.0144,
CQ19,"What makes a page more likely to be cited than its competitors for the same topic?",perplexity,sonar-pro,2026-04-07T10:06:45Z,no,,P3|P8|P2|P10,0,pmc.ncbi.nlm.nih.gov|ece.uw.edu|libguides.usc.edu|guides.lib.umich.edu|asistdl.onlinelibrary.wiley.com|library.albany.edu,307,0.0113,MISFIRE: Perplexity interpreted as academic citation not AI citation
CQ20,"How do I audit my existing content for AI citation readiness?",perplexity,sonar-pro,2026-04-07T10:06:54Z,no,,P3|P5|P2|P8,0,getpassionfruit.com|geoaiomarketing.com|trakkr.ai|writesonic.com|ziptie.dev|useomnia.com|purevisibility.com|therankmasters.com,834,0.0192,
CQ21,"How long does AI citation last after content is published?",perplexity,sonar-pro,2026-04-07T10:06:59Z,no,,P6|P5|P8,0,scrunch.com|toolsolved.com|semrush.com|csescienceeditor.org|almcorp.com|brightedge.com,411,0.0128,Scrunch half-life study is dominant source
CQ22,"Does updating old content improve AI citation rates?",perplexity,sonar-pro,2026-04-07T10:07:04Z,no,,P6|P4|P2|P7,0,authority.builders|airops.com|npws.net|seoptimer.com|onely.com|searchengineland.com|brightedge.com|marceldigital.com,402,0.0127,
