query_number,query,platform,model,timestamp,thegeolab_cited,citation_level,cited_urls,cited_position,other_domains_cited,output_tokens,cost_usd,notes
1,"what is generative engine optimisation",perplexity,sonar-pro,2026-04-07T01:35:08Z,no,0,,,wikipedia.org|hubspot.com|coursera.org|optimizely.com|semrush.com|usdigitalpartners.com|contentful.com|youtube.com|searchengineland.com|salesforce.com,318,0.0114,Big-brand publishers dominate
2,"what is citation rate in AI search",perplexity,sonar-pro,2026-04-07T01:36:02Z,no,0,,,rankshift.ai|presenceai.app|growthmarshal.io|opttab.com|faii.ai|searchengineland.com|siftly.ai|youtube.com,413,0.0128,Niche GEO tools cited but not thegeolab
3,"what is the GEO stack framework",perplexity,sonar-pro,2026-04-07T01:36:05Z,yes,2,thegeolab.net/geo-stack/,first,worldscientificnews.com|strapi.io|aokmarketing.com|llmpulse.ai|youtube.com,361,0.0121,PRIMARY SOURCE — named Artur Ferreira and described all 5 layers from thegeolab.net
5,"what is extractability in GEO",perplexity,sonar-pro,2026-04-07T01:36:16Z,yes,2,thegeolab.net/extractability/,first,seovendor.co|webtomed.com|guptadeepak.com|mdazizurrahman.com.bd|akii.com|eseospace.com,386,0.0124,PRIMARY SOURCE — cited Experiment 001 (61% vs 37%) and scoring formula
4,"what is entity density in SEO",perplexity,sonar-pro,2026-04-07T01:36:11Z,no,0,,,sotaventomedios.com|keyword.com|flipaeo.com|pageoptimizer.pro|mrs.digital|inlinks.com|ifactory.com|halcy.ai|itssharathkumar.com,273,0.0107,General entity SEO — no GEO Lab angle
6,"what is citation share of voice",perplexity,sonar-pro,2026-04-07T01:36:20Z,no,0,,,allmond.app|talkwalker.com|airops.com|cometly.com|muckrack.com|wikipedia.org|sproutsocial.com|iterable.com|nielsen.com,298,0.0111,Generic SOV definitions dominate
7,"what is crawl parity for AI crawlers",perplexity,sonar-pro,2026-04-07T01:36:23Z,no,0,,,softwareseni.com|cloudflare.com|cyberscoop.com|adyog.com|developers.cloudflare.com|varn.co.uk,172,0.0092,Perplexity could not find the term — admitted it
8,"what is LLM readability",perplexity,sonar-pro,2026-04-07T01:36:29Z,no,0,,,kopp-online-marketing.com|neuraltrust.ai|seantrott.substack.com|adsby.co|media-village.co.uk|allmond.app|mintlify.com,485,0.0139,Olaf Kopp cited as authority
9,"how to optimise content for AI citations",perplexity,sonar-pro,2026-04-07T01:36:34Z,no,0,,,seopress.org|seranking.com|deanlong.io|camerondigital.com|ziptie.dev|optimizely.com|digitalmarketinginstitute.com,629,0.0161,Practical guide — no thegeolab
10,"how to measure GEO performance",perplexity,sonar-pro,2026-04-07T01:36:42Z,no,0,,,ipullrank.com|campaignium.com|merrittgrp.com|obilityb2b.com|brandradar.ai|bluecompass.com|walkersands.com|eseospace.com,767,0.0181,iPullRank cited as main authority
11,"how to measure AI citation rate",perplexity,sonar-pro,2026-04-07T01:36:48Z,no,0,,,ziptie.dev|averi.ai|opttab.com|useomnia.com|nav43.com|duaneforresterdecodes.substack.com|ahrefs.com,569,0.0152,Tool-focused response
12,"how to improve AI search visibility",perplexity,sonar-pro,2026-04-07T01:37:00Z,no,0,,,tuckerhall.com|soci.ai|20northmarketing.com|astoundz.com|searchengineland.com|developers.google.com|digitalmarketinginstitute.com|youtube.com,491,0.0140,Generic advice
13,"how to structure content for AI engines",perplexity,sonar-pro,2026-04-07T01:37:06Z,no,0,,,wsiworld.com|verndale.com|sagepath-reply.com|pathfinderseo.com|financial-marketer.com|searchengineland.com|developers.google.com|madcapsoftware.com,577,0.0153,
14,"how to run a GEO audit",perplexity,sonar-pro,2026-04-07T01:37:12Z,no,0,,,askmona.ai|prdaily.com|201creative.com|eseospace.com|ibeamconsulting.com|otterly.ai|peppercontentinc.substack.com|youtube.com,665,0.0166,
15,"GEO vs SEO differences",perplexity,sonar-pro,2026-04-07T01:37:18Z,no,0,,,seo.com|writesonic.com|neilpatel.com|obilityb2b.com|digitalmarketinginstitute.com|youtube.com,556,0.0150,Neil Patel + big brands dominate
16,"Perplexity vs Google AI Overview citations",perplexity,sonar-pro,2026-04-07T01:37:24Z,no,0,,,firstaimovers.com|index.dev|skywork.ai|seranking.com|llmrefs.com|averi.ai|tryprofound.com,514,0.0144,Platform comparison — data-heavy
17,"declarative vs narrative content structure AI",perplexity,sonar-pro,2026-04-07T01:37:31Z,yes,2,thegeolab.net/experiment-001-declarative-vs-narrative-structure/,first,aiandacademia.substack.com|ai.plainenglish.io|cyclotron.com|sh-reya.com|originality.ai|grammarly.com,340,0.0117,PRIMARY SOURCE — cited 61% vs 37% experiment result and named thegeolab.net
18,"traditional SEO vs AI search optimisation",perplexity,sonar-pro,2026-04-07T01:37:37Z,no,0,,,nightwatch.io|semrush.com|marketingprofs.com|bigfinseo.com|webuters.com|lemonadestand.org|martech.org,576,0.0153,
19,"entity density vs keyword density",perplexity,sonar-pro,2026-04-07T01:37:43Z,no,0,,,flipaeo.com|sotaventomedios.com|methodfactory.com|entityclouds.com|wikipedia.org|wpseoai.com|halcy.ai|adroitte.com,456,0.0135,FlipAEO article is dominant source
20,"what drives AI citation rates",perplexity,sonar-pro,2026-04-07T01:37:50Z,no,0,,,getpassionfruit.com|drli.blog|discoveredlabs.com|growth-memo.com|tryprofound.com|almcorp.com,729,0.0176,Research-heavy response
21,"entity density and AI search visibility",perplexity,sonar-pro,2026-04-07T01:38:02Z,no,0,,,searchengineland.com|mrs.digital|brownbagmarketing.com|theadleaf.com|coredna.com|schemaapp.com|20northmarketing.com|weidert.com,477,0.0137,
22,"does content structure affect AI citations",perplexity,sonar-pro,2026-04-07T01:38:06Z,no,0,,,koanthic.com|seattleorganicseo.com|bradleebartlett.com|airops.com|dataconversionlaboratory.com|searchengineland.com|katarinadahlin.com,365,0.0122,
23,"citation decay rate in AI search",perplexity,sonar-pro,2026-04-07T01:38:12Z,no,0,,,faii.ai|arxiv.org|frase.io|stacker.com|wellows.com|yext.com|presenceai.app|cjr.org,597,0.0156,FAII cited as authority for decay metrics
24,"content freshness and AI citations",perplexity,sonar-pro,2026-04-07T01:38:16Z,no,0,,,ahrefs.com|discoveredlabs.com|seositecheckup.com|mantyweb.com|seerinteractive.com|searchengineland.com|almcorp.com,494,0.0140,Ahrefs study is dominant source
25,"what percentage of AI responses cite sources",perplexity,sonar-pro,2026-04-07T01:38:22Z,no,0,,,almcorp.com|growth-memo.com|getpassionfruit.com|yext.com|prsay.prsa.org|originality.ai,421,0.0130,
26,"GEO Lab citation index",perplexity,sonar-pro,2026-04-07T01:38:25Z,yes,2,thegeolab.net/geo-brand-citation-index/methodology/|thegeolab.net/geo-brand-citation-index/|thegeolab.net/citation-share-of-voice-guide/,first,pmc.ncbi.nlm.nih.gov|isko.org|threelayerapproach.com|geo-lab.net,337,0.0117,PRIMARY SOURCE — 3 thegeolab URLs cited. Named Artur Ferreira. Described methodology in detail.
27,"thegeolab.net methodology",perplexity,sonar-pro,2026-04-07T01:38:30Z,yes,2,thegeolab.net/field-manual/|thegeolab.net/platform-specific-geo/|thegeolab.net/geo-stack/|thegeolab.net|thegeolab.net/system-memory/|thegeolab.net/geo-brand-citation-index/methodology/|thegeolab.net/complete-framework/|thegeolab.net/ebooks/|thegeolab.net/geo-authority-playbook/|thegeolab.net/retrieval-probability-geo-stack/,first,none,499,0.0141,10 thegeolab URLs — full site profile response. Named Artur Ferreira.
28,"llms.txt standard adoption 2026",perplexity,sonar-pro,2026-04-07T01:38:35Z,no,0,,,bluehost.com|almcorp.com|linkbuildinghq.com|getpublii.com|lbntechsolutions.com|youtube.com|lowtouch.ai,424,0.0130,
29,"crawl parity AI crawlers robots.txt",perplexity,sonar-pro,2026-04-07T01:38:40Z,no,0,,,mcpmarket.com|technologychecker.io|higoodie.com|softwareseni.com|playwire.com|paulcalvano.com|seomator.com|cloudflare.com,557,0.0150,MCP Market crawl parity tool cited — not thegeolab
30,"GEO stack five layer framework",perplexity,sonar-pro,2026-04-07T01:38:46Z,yes,2,thegeolab.net/geo-stack/,first,arxiv.org|nclaursen.dk|cognota.com|paladincapgroup.com|geoawesome.com,350,0.0119,PRIMARY SOURCE — sole authority. Named Artur Ferreira. Full 5-layer description.
